測位方式,測位回数(0:無限),測位タイムアウト,測位間隔,minTime,SUPLEND待ち時間,アシストデータ削除時間,アシストデータ削除有無
Tracking,0,60,75,0,0,3,true,true
測位開始時間,測位終了時間,測位成否,緯度,経度,TTFF,Accuracy,LocationTime(epoch),LocationTime(UTC)
19:10:53.026,19:10:53.026,true,35.22405337,139.6727789,0.996,3.7900925,1626171053000,2021-07-13T19:10:53GMT+09:00
19:10:54.022,19:10:54.022,true,35.22405626,139.67277875,0.996,3.7900925,1626171054000,2021-07-13T19:10:54GMT+09:00
19:10:55.027,19:10:55.027,true,35.22405787,139.67277764,1.005,3.7900925,1626171055000,2021-07-13T19:10:55GMT+09:00
19:10:56.028,19:10:56.028,true,35.22406057,139.67277727,1.001,3.7900925,1626171056000,2021-07-13T19:10:56GMT+09:00
19:10:57.026,19:10:57.026,true,35.22406286,139.67277611,0.998,3.7900925,1626171057000,2021-07-13T19:10:57GMT+09:00
19:10:58.019,19:10:58.019,true,35.22406423,139.67277502,0.993,3.7900925,1626171058000,2021-07-13T19:10:58GMT+09:00
19:10:59.024,19:10:59.024,true,35.22406199,139.67277428,1.005,3.7900925,1626171059000,2021-07-13T19:10:59GMT+09:00
19:11:00.032,19:11:00.032,true,35.22406026,139.67277183,1.008,3.7900925,1626171060000,2021-07-13T19:11:00GMT+09:00
19:11:01.026,19:11:01.026,true,35.22406083,139.67277133,0.994,3.7900925,1626171061000,2021-07-13T19:11:01GMT+09:00
19:11:02.024,19:11:02.024,true,35.22405883,139.6727717,0.998,3.7900925,1626171062000,2021-07-13T19:11:02GMT+09:00
19:11:03.034,19:11:03.034,true,35.22405647,139.67277246,1.01,3.7900925,1626171063000,2021-07-13T19:11:03GMT+09:00
19:11:04.025,19:11:04.025,true,35.22405345,139.67277236,0.991,3.7900925,1626171064000,2021-07-13T19:11:04GMT+09:00
19:11:05.022,19:11:05.022,true,35.22405035,139.67277347,0.997,3.7900925,1626171065000,2021-07-13T19:11:05GMT+09:00
19:11:06.029,19:11:06.029,true,35.22404917,139.67277398,1.007,3.7900925,1626171066000,2021-07-13T19:11:06GMT+09:00
19:11:07.019,19:11:07.019,true,35.22404704,139.67277425,0.99,3.7900925,1626171067000,2021-07-13T19:11:07GMT+09:00
